frame,line,cmd_x,cmd_y,cmd_yaw,q/LF_hip_joint,dq/LF_hip_joint,tau_est/LF_hip_joint,action/LF_hip_joint,q_target/LF_hip_joint,tau_policy/LF_hip_joint,target_log/LF_hip_joint,q/LF_thigh_joint,dq/LF_thigh_joint,tau_est/LF_thigh_joint,action/LF_thigh_joint,q_target/LF_thigh_joint,tau_policy/LF_thigh_joint,target_log/LF_thigh_joint,q/LF_calf_joint,dq/LF_calf_joint,tau_est/LF_calf_joint,action/LF_calf_joint,q_target/LF_calf_joint,tau_policy/LF_calf_joint,target_log/LF_calf_joint,q/RF_hip_joint,dq/RF_hip_joint,tau_est/RF_hip_joint,action/RF_hip_joint,q_target/RF_hip_joint,tau_policy/RF_hip_joint,target_log/RF_hip_joint,q/RF_thigh_joint,dq/RF_thigh_joint,tau_est/RF_thigh_joint,action/RF_thigh_joint,q_target/RF_thigh_joint,tau_policy/RF_thigh_joint,target_log/RF_thigh_joint,q/RF_calf_joint,dq/RF_calf_joint,tau_est/RF_calf_joint,action/RF_calf_joint,q_target/RF_calf_joint,tau_policy/RF_calf_joint,target_log/RF_calf_joint,q/LH_hip_joint,dq/LH_hip_joint,tau_est/LH_hip_joint,action/LH_hip_joint,q_target/LH_hip_joint,tau_policy/LH_hip_joint,target_log/LH_hip_joint,q/LH_thigh_joint,dq/LH_thigh_joint,tau_est/LH_thigh_joint,action/LH_thigh_joint,q_target/LH_thigh_joint,tau_policy/LH_thigh_joint,target_log/LH_thigh_joint,q/LH_calf_joint,dq/LH_calf_joint,tau_est/LH_calf_joint,action/LH_calf_joint,q_target/LH_calf_joint,tau_policy/LH_calf_joint,target_log/LH_calf_joint,q/RH_hip_joint,dq/RH_hip_joint,tau_est/RH_hip_joint,action/RH_hip_joint,q_target/RH_hip_joint,tau_policy/RH_hip_joint,target_log/RH_hip_joint,q/RH_thigh_joint,dq/RH_thigh_joint,tau_est/RH_thigh_joint,action/RH_thigh_joint,q_target/RH_thigh_joint,tau_policy/RH_thigh_joint,target_log/RH_thigh_joint,q/RH_calf_joint,dq/RH_calf_joint,tau_est/RH_calf_joint,action/RH_calf_joint,q_target/RH_calf_joint,tau_policy/RH_calf_joint,target_log/RH_calf_joint
62,215740,0.0,0.0,0.0,0.05999999865889549,-0.009999999776482582,-9.739999771118164,-0.158128023147583,-0.0790640115737915,-13.891401290893555,-0.029999999329447746,0.9100000262260437,-0.0,-12.399999618530273,0.07383771240711212,0.918459415435791,0.8459389209747314,0.7300000190734863,-1.3799999952316284,0.0,14.40999984741211,0.8122464418411255,-1.1769384145736694,20.3061580657959,-1.4700000286102295,0.05999999865889549,-0.009999999776482582,-11.609999656677246,0.07255023717880249,0.036275118589401245,-2.357487916946411,-0.03999999910593033,1.0700000524520874,-0.0,0.8700000047683716,-0.3015119731426239,0.8246219754219055,-24.53780746459961,0.8100000023841858,-1.3700000047683716,0.009999999776482582,14.289999961853027,0.42211252450942993,-1.2744718790054321,9.537812232971191,-1.5099999904632568,-0.05000000074505806,-0.0,9.140000343322754,-0.02046896517276764,-0.01023448258638382,3.9765517711639404,0.07999999821186066,0.9300000071525574,0.009999999776482582,-14.050000190734863,-0.07247414439916611,0.8818814158439636,-4.826858997344971,0.6899999976158142,-1.3799999952316284,-0.009999999776482582,11.34000015258789,0.9996315836906433,-1.1300921440124512,25.00578498840332,-1.4299999475479126,-0.029999999329447746,0.009999999776482582,9.279999732971191,0.028769217431545258,0.014384608715772629,4.423460960388184,-0.0,1.0800000429153442,-0.009999999776482582,1.0299999713897705,0.09581494331359863,0.9239537119865417,-15.589632987976074,0.8100000023841858,-1.3700000047683716,0.0,12.59000015258789,0.2113647758960724,-1.327158808708191,4.284119606018066,-1.5800000429153442
84,216089,0.0,0.0,0.0,0.05999999865889549,0.0,-9.770000457763672,-0.14857009053230286,-0.07428504526615143,-13.428504943847656,0.0,0.9100000262260437,-0.009999999776482582,-12.4399995803833,0.08468401432037354,0.9211709499359131,1.1320923566818237,0.7300000190734863,-1.3799999952316284,0.0,11.75,0.7536996603012085,-1.191575050354004,18.84249496459961,-1.4900000095367432,0.05999999865889549,0.019999999552965164,-11.460000038146973,0.07041539251804352,0.03520769625902176,-2.509230136871338,-0.05000000074505806,1.0700000524520874,-0.0,1.6299999952316284,-0.2878707945346832,0.8280322551727295,-24.196779251098633,0.8199999928474426,-1.3700000047683716,-0.0,13.420000076293945,0.4468544125556946,-1.2682863473892212,10.171365737915039,-1.4900000095367432,-0.05000000074505806,0.009999999776482582,8.40999984741211,-0.020146623253822327,-0.010073311626911163,3.9776687622070312,0.09000000357627869,0.9300000071525574,0.0,-14.359999656677246,-0.08615461736917496,0.8784613013267517,-5.153870582580566,0.6800000071525574,-1.3799999952316284,0.009999999776482582,11.59000015258789,1.0605367422103882,-1.114865779876709,26.498422622680664,-1.399999976158142,-0.029999999329447746,0.019999999552965164,9.210000038146973,0.026588477194309235,0.013294238597154617,4.2994232177734375,-0.029999999329447746,1.0800000429153442,-0.0,0.800000011920929,0.10926000773906708,0.9273149967193604,-15.268505096435547,0.8799999952316284,-1.3700000047683716,-0.009999999776482582,13.65999984741211,0.180479496717453,-1.3348801136016846,3.526989221572876,-1.6100000143051147
104,216393,0.0,0.0,0.0,0.05999999865889549,0.019999999552965164,-9.970000267028809,-0.14578777551651,-0.072893887758255,-13.319388389587402,-0.03999999910593033,0.9100000262260437,-0.009999999776482582,-12.40999984741211,0.08213111758232117,0.920532763004303,1.068273663520813,0.7599999904632568,-1.3799999952316284,-0.0,15.75,0.7331224679946899,-1.1967194080352783,18.32805824279785,-1.2999999523162842,0.05999999865889549,0.009999999776482582,-11.5600004196167,0.07350235432386398,0.03675117716193199,-2.3398821353912354,-0.03999999910593033,1.0700000524520874,0.0,1.3899999856948853,-0.28585943579673767,0.8285351395606995,-24.14649200439453,0.8399999737739563,-1.3700000047683716,0.009999999776482582,13.380000114440918,0.4601404070854187,-1.2649649381637573,10.488506317138672,-1.559999942779541,-0.05000000074505806,-0.0,8.579999923706055,-0.018077775835990906,-0.009038887917995453,4.096111297607422,0.11999999731779099,0.9300000071525574,-0.009999999776482582,-13.930000305175781,-0.0901806429028511,0.8774548172950745,-5.239519119262695,0.7099999785423279,-1.3799999952316284,-0.009999999776482582,12.850000381469727,1.0685127973556519,-1.112871766090393,26.727821350097656,-1.3899999856948853,-0.029999999329447746,0.019999999552965164,9.5,0.024128660559654236,0.012064330279827118,4.176433086395264,0.05000000074505806,1.0800000429153442,-0.009999999776482582,1.2799999713897705,0.11391541361808777,0.9284788370132446,-15.137120246887207,0.9100000262260437,-1.3700000047683716,0.009999999776482582,12.600000381469727,0.16753517091274261,-1.33811616897583,3.1733834743499756,-1.649999976158142
124,216697,0.0,0.0,0.0,0.05999999865889549,0.009999999776482582,-9.819999694824219,-0.145562082529068,-0.072781041264534,-13.293105125427246,-0.07000000029802322,0.9100000262260437,-0.009999999776482582,-12.649999618530273,0.08277939260005951,0.9206948280334473,1.0844801664352417,0.8700000047683716,-1.3799999952316284,-0.009999999776482582,13.770000457763672,0.7331106662750244,-1.1967222690582275,18.342771530151367,-1.2200000286102295,0.05999999865889549,0.0,-11.680000305175781,0.07421103119850159,0.03710551559925079,-2.2894482612609863,-0.0,1.0700000524520874,0.009999999776482582,0.9100000262260437,-0.28631848096847534,0.8284203410148621,-24.172969818115234,0.8999999761581421,-1.3700000047683716,0.0,13.699999809265137,0.46239691972732544,-1.2644007205963135,10.559928894042969,-1.659999966621399,-0.05000000074505806,-0.029999999329447746,8.149999618530273,-0.0170876607298851,-0.00854383036494255,4.190617084503174,0.05999999865889549,0.9300000071525574,0.0,-14.149999618530273,-0.09241732209920883,0.8768956661224365,-5.310434341430664,0.7799999713897705,-1.3799999952316284,-0.0,11.630000114440918,1.0698891878128052,-1.1125277280807495,26.74722671508789,-1.4700000286102295,-0.029999999329447746,-0.009999999776482582,9.329999923706055,0.024840712547302246,0.012420356273651123,4.257035732269287,0.10000000149011612,1.0800000429153442,-0.009999999776482582,1.0199999809265137,0.11501239240169525,0.9287530779838562,-15.109696388244629,0.9200000166893005,-1.3700000047683716,-0.0,13.430000305175781,0.16591650247573853,-1.338520884513855,3.14791202545166,-1.5399999618530273
144,217001,0.0,0.0,0.0,0.05999999865889549,0.009999999776482582,-9.569999694824219,-0.14384350180625916,-0.07192175090312958,-13.207175254821777,-0.18000000715255737,0.9100000262260437,-0.019999999552965164,-12.109999656677246,0.08455698192119598,0.9211392402648926,1.1439213752746582,0.8700000047683716,-1.3799999952316284,-0.009999999776482582,14.329999923706055,0.7266079187393188,-1.198348045349121,18.180194854736328,-1.1399999856948853,0.05999999865889549,-0.0,-11.550000190734863,0.07480619102716446,0.03740309551358223,-2.259690284729004,0.05000000074505806,1.0700000524520874,-0.0,1.5199999809265137,-0.2859749495983124,0.8285062313079834,-24.149381637573242,0.9100000262260437,-1.3700000047683716,-0.009999999776482582,14.739999771118164,0.46632951498031616,-1.2634176015853882,10.673240661621094,-1.7200000286102295,-0.05000000074505806,-0.009999999776482582,8.739999771118164,-0.017610400915145874,-0.008805200457572937,4.134479999542236,0.009999999776482582,0.9300000071525574,0.0,-14.3100004196167,-0.09267748147249222,0.8768305778503418,-5.316943168640137,0.7599999904632568,-1.3799999952316284,0.0,11.199999809265137,1.0724034309387207,-1.1118991374969482,26.81008529663086,-1.559999942779541,-0.029999999329447746,0.019999999552965164,9.279999732971191,0.02339215576648712,0.01169607788324356,4.139607906341553,0.17000000178813934,1.0800000429153442,-0.019999999552965164,1.3899999856948853,0.11690162122249603,0.9292253851890564,-15.047466278076172,0.8500000238418579,-1.3700000047683716,-0.009999999776482582,13.510000228881836,0.16334427893161774,-1.339163899421692,3.0986106395721436,-1.350000023841858
164,217305,0.0,0.0,0.0,0.05999999865889549,0.0,-9.680000305175781,-0.1433100402355194,-0.0716550201177597,-13.165502548217773,-0.12999999523162842,0.9100000262260437,-0.019999999552965164,-12.170000076293945,0.08400548994541168,0.9210013747215271,1.1301348209381104,0.6700000166893005,-1.3799999952316284,-0.009999999776482582,12.770000457763672,0.7278201580047607,-1.198045015335083,18.21049690246582,-1.090000033378601,0.05999999865889549,-0.0,-11.5,0.07502424716949463,0.037512123584747314,-2.2487874031066895,0.11999999731779099,1.0700000524520874,-0.0,2.0799999237060547,-0.28695911169052124,0.8282601833343506,-24.173986434936523,1.0,-1.3700000047683716,0.009999999776482582,14.220000267028809,0.46555590629577637,-1.263611078262329,10.623892784118652,-1.7899999618530273,-0.05000000074505806,0.0,8.760000228881836,-0.018363691866397858,-0.009181845933198929,4.081815719604492,-0.09000000357627869,0.9300000071525574,0.009999999776482582,-13.5600004196167,-0.09358156472444534,0.8766045570373535,-5.3545451164245605,0.8399999737739563,-1.3799999952316284,0.0,10.8100004196167,1.0694953203201294,-1.1126261949539185,26.737380981445312,-1.7899999618530273,-0.029999999329447746,0.009999999776482582,8.399999618530273,0.023807041347026825,0.011903520673513412,4.175352096557617,0.23999999463558197,1.0800000429153442,-0.0,1.440000057220459,0.11393125355243683,0.9284827709197998,-15.151727676391602,0.7900000214576721,-1.3700000047683716,0.009999999776482582,13.109999656677246,0.16196633875370026,-1.3395084142684937,3.034158945083618,-1.340000033378601
184,217609,0.0,0.0,0.0,0.05999999865889549,0.0,-9.75,-0.14367574453353882,-0.07183787226676941,-13.18378734588623,-0.029999999329447746,0.9100000262260437,-0.009999999776482582,-12.300000190734863,0.08296699821949005,0.9207417368888855,1.089171051979065,0.6600000262260437,-1.3799999952316284,0.0,12.59000015258789,0.7283340692520142,-1.1979165077209473,18.208349227905273,-1.2300000190734863,0.05999999865889549,0.009999999776482582,-11.350000381469727,0.0742994025349617,0.03714970126748085,-2.300029754638672,0.10000000149011612,1.0700000524520874,-0.0,1.399999976158142,-0.285590797662735,0.8286022543907166,-24.139780044555664,1.0399999618530273,-1.3700000047683716,-0.0,13.6899995803833,0.4658461809158325,-1.2635384798049927,10.64615249633789,-1.7300000190734863,-0.05000000074505806,0.009999999776482582,8.5600004196167,-0.018473133444786072,-0.009236566722393036,4.061343669891357,-0.03999999910593033,0.9300000071525574,0.0,-13.970000267028809,-0.09258566051721573,0.8768535852432251,-5.314641952514648,1.1399999856948853,-1.3799999952316284,0.009999999776482582,11.949999809265137,1.0689258575439453,-1.112768530845642,26.708147048950195,-1.8600000143051147,-0.029999999329447746,0.009999999776482582,9.09000015258789,0.02436843514442444,0.01218421757221222,4.2034220695495605,0.17000000178813934,1.0800000429153442,0.0,1.2599999904632568,0.11507308483123779,0.9287682771682739,-15.123176574707031,0.7300000190734863,-1.3700000047683716,-0.009999999776482582,12.170000076293945,0.16485142707824707,-1.3387870788574219,3.1362926959991455,-1.4900000095367432
205,217928,0.0,0.0,0.0,0.05999999865889549,0.009999999776482582,-9.579999923706055,-0.1433059722185135,-0.07165298610925674,-13.180298805236816,0.05999999865889549,0.9100000262260437,-0.019999999552965164,-12.100000381469727,0.08399547636508942,0.9209988713264465,1.1298844814300537,0.5699999928474426,-1.3799999952316284,-0.0,12.569999694824219,0.7247171401977539,-1.19882071018219,18.11792755126953,-1.159999966621399,0.05999999865889549,0.019999999552965164,-11.579999923706055,0.07417747378349304,0.03708873689174652,-2.3211262226104736,0.11999999731779099,1.0700000524520874,0.009999999776482582,0.8399999737739563,-0.2875221371650696,0.8281194567680359,-24.20305824279785,0.949999988079071,-1.3700000047683716,-0.009999999776482582,14.010000228881836,0.4670484662055969,-1.2632378339767456,10.691217422485352,-1.7599999904632568,-0.05000000074505806,0.019999999552965164,8.420000076293945,-0.019257962703704834,-0.009628981351852417,4.007101535797119,-0.05999999865889549,0.9300000071525574,-0.009999999776482582,-14.199999809265137,-0.09143104404211044,0.8771421909332275,-5.270781993865967,0.8500000238418579,-1.3799999952316284,-0.0,11.789999961853027,1.069078803062439,-1.1127302646636963,26.726972579956055,-1.7699999809265137,-0.029999999329447746,0.0,9.359999656677246,0.0246809720993042,0.0123404860496521,4.234048843383789,0.12999999523162842,1.0800000429153442,-0.009999999776482582,1.1799999475479126,0.11579711735248566,0.928949236869812,-15.090080261230469,0.7300000190734863,-1.3700000047683716,-0.0,13.109999656677246,0.16399620473384857,-1.339000940322876,3.0999064445495605,-1.7000000476837158
225,218232,0.0,0.0,0.0,0.05999999865889549,0.009999999776482582,-9.710000038146973,-0.14455588161945343,-0.07227794080972672,-13.242794036865234,0.029999999329447746,0.9100000262260437,-0.0,-12.270000457763672,0.08151896297931671,0.9203796982765198,1.0379672050476074,0.5699999928474426,-1.3799999952316284,0.0,13.289999961853027,0.727948784828186,-1.1980128288269043,18.19871711730957,-0.8700000047683716,0.05999999865889549,-0.009999999776482582,-12.1899995803833,0.07550475746393204,0.03775237873196602,-2.20976185798645,0.10999999940395355,1.0700000524520874,-0.0,1.0399999618530273,-0.2861342430114746,0.8284664154052734,-24.153364181518555,1.0,-1.3700000047683716,0.0,14.649999618530273,0.4660290479660034,-1.2634927034378052,10.65073013305664,-2.0,-0.05000000074505806,0.009999999776482582,8.380000114440918,-0.01911182701587677,-0.009555913507938385,4.029408931732178,-0.029999999329447746,0.9300000071525574,-0.009999999776482582,-14.029999732971191,-0.09104350954294205,0.8772391080856323,-5.26108980178833,0.7400000095367432,-1.3799999952316284,0.009999999776482582,11.3100004196167,1.0703407526016235,-1.112414836883545,26.74351692199707,-1.559999942779541,-0.029999999329447746,-0.0,9.300000190734863,0.024428680539131165,0.012214340269565582,4.221434116363525,0.1899999976158142,1.0800000429153442,-0.019999999552965164,1.4800000190734863,0.11655373871326447,0.9291384220123291,-15.05616283416748,0.949999988079071,-1.3700000047683716,-0.009999999776482582,13.390000343322754,0.16497838497161865,-1.3387553691864014,3.1394636631011963,-1.7300000190734863
245,218536,0.0,0.0,0.0,0.05999999865889549,0.009999999776482582,-9.970000267028809,-0.14515027403831482,-0.07257513701915741,-13.272514343261719,0.07000000029802322,0.9100000262260437,-0.0,-12.199999809265137,0.0812712162733078,0.9203177690505981,1.0317742824554443,0.6800000071525574,-1.3799999952316284,0.009999999776482582,13.760000228881836,0.7293877601623535,-1.19765305519104,18.219694137573242,-0.7200000286102295,0.05999999865889549,-0.019999999552965164,-11.869999885559082,0.07566924393177032,0.03783462196588516,-2.186537742614746,0.05000000074505806,1.0700000524520874,0.0,1.690000057220459,-0.2849430441856384,0.8287642002105713,-24.123584747314453,1.25,-1.3700000047683716,0.009999999776482582,15.010000228881836,0.46431511640548706,-1.2639212608337402,10.592873573303223,-2.180000066757202,-0.05000000074505806,-0.009999999776482582,8.40999984741211,-0.01799449324607849,-0.008997246623039246,4.1152753829956055,-0.09000000357627869,0.9300000071525574,-0.0,-13.930000305175781,-0.09246066957712173,0.8768848180770874,-5.311518669128418,0.7099999785423279,-1.3799999952316284,0.009999999776482582,11.619999885559082,1.0682531595230103,-1.1129367351531982,26.691326141357422,-1.5399999618530273,-0.029999999329447746,0.009999999776482582,8.920000076293945,0.02397020161151886,0.01198510080575943,4.1835103034973145,0.2199999988079071,1.0800000429153442,0.0,0.8199999928474426,0.11491446942090988,0.9287285804748535,-15.127145767211914,0.8899999856948853,-1.3700000047683716,-0.019999999552965164,12.569999694824219,0.16493213176727295,-1.3387669324874878,3.1533071994781494,-1.4900000095367432
